trait,model,run_pca20,run_pca50,pearson_pca20,pearson_pca50,r2_pca20,r2_pca50,rmse_pca20,rmse_pca50,delta_pearson_50_minus_20,delta_r2_50_minus_20,delta_rmse_50_minus_20,winner_pearson,winner_r2,winner_rmse
lodging,decision_tree,20_pca20_tree_-_estructura_unificada_+_nested_cv_5x3,21_pca50_tree_-_estructura_unificada_+_nested_cv_5x3,0.807281948341925,0.8084048118788874,0.6480248146860629,0.6485276837611669,0.9390809162527196,0.9384098411836888,0.0011228635369623374,0.0005028690751039955,-0.0006710750690308576,pca50,pca50,pca50
lodging,adaboost,40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,0.8537838860014734,0.8544527446735943,0.7226225752574889,0.7220969137118031,0.8336476835740154,0.8344372379318628,0.0006688586721209644,-0.0005256615456857849,0.000789554357847333,pca50,pca20,pca20
lodging,random_forest,40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,0.8725729694930571,0.8732003826219472,0.7610346456390106,0.7615254722202864,0.7737745871963319,0.7729795255956527,0.0006274131288901419,0.0004908265812758605,-0.0007950616006791034,pca50,pca50,pca50
lodging,svr_rbf,10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,0.8716079407730642,0.8662731176032064,0.7594330517798089,0.7503413588828953,0.776363253441289,0.790897664457907,-0.005334823169857894,-0.009091692896913584,0.01453441101661801,pca20,pca20,pca20
lodging,svr_linear,10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,0.8497961786105552,0.8391176353497752,0.7213619864521743,0.6986455456442595,0.8355398629040038,0.8689320165994796,-0.010678543260779993,-0.022716440807914795,0.03339215369547577,pca20,pca20,pca20
plant_height,svr_linear,10_pca20_svr_-_estructura_unificada_+_nested_cv_5x3,11_pca50_svr_-_estructura_unificada_+_nested_cv_5x3,0.7496668855252678,0.7750574765704048,0.5588833930471973,0.6003880379540731,9.51818695853828,9.059344334226738,0.025390591045136968,0.04150464490687589,-0.45884262431154177,pca50,pca50,pca50
plant_height,ridge,45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,0.7536514468126917,0.776182087327852,0.5671841874491361,0.5997562540075052,9.428206508933467,9.066502888553709,0.022530640515160294,0.032572066558369084,-0.36170362037975856,pca50,pca50,pca50
plant_height,elasticnet,45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,0.7554664076854735,0.7779029348862809,0.5697534220851644,0.604628025219788,9.400181504986763,9.011155163931244,0.022436527200807466,0.03487460313462354,-0.38902634105551925,pca50,pca50,pca50
plant_height,gradient_boosting,40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,0.7887058802869694,0.7934226228195442,0.6220289919580921,0.6293382227230466,8.810626102230753,8.725019954069657,0.004716742532574814,0.0073092307649544885,-0.08560614816109613,pca50,pca50,pca50
plant_height,xgboost,45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,45_pca50_blocks_-_estructura_unificada_+_nested_cv_5x3,0.7856645658605594,0.7889857225807233,0.61703175765167,0.6223978918136025,8.868678423509593,8.80632546531322,0.0033211567201638648,0.005366134161932545,-0.062352958196372654,pca50,pca50,pca50
plant_height,random_forest,40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,0.7935928998807116,0.7957630677865566,0.6290659254177393,0.6312211019542431,8.728224173384692,8.702831161110172,0.0021701679058450107,0.0021551765365037667,-0.025393012274520288,pca50,pca50,pca50
plant_height,adaboost,40_pca20_ensemble_-_estructura_unificada_+_nested_cv_5x3,40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,0.747482256464934,0.7472360089336232,0.5525867349423841,0.5461188570548249,9.585879271171075,9.654918160894749,-0.0002462475313108614,-0.0064678778875592036,0.06903888972367334,pca20,pca20,pca20
