run_name,trait,model,r2_mean,r2_std,rmse_mean,rmse_std
40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,puccinia_hordei,adaboost,0.44260349990070313,0.03724172657162792,0.8844874353812042,0.03690761153799127
40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,puccinia_hordei,gradient_boosting,0.5145560624141379,0.0466999249686508,0.8251366397411234,0.046528995119859425
40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,puccinia_hordei,random_forest,0.5095409098721981,0.0528882164761868,0.8293000942870975,0.05375915620019373
40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,ramularia_collo_cygni,adaboost,0.061479940592262736,0.06604998320761404,1.0836234605170536,0.057743671236295514
40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,ramularia_collo_cygni,gradient_boosting,0.09864719311327744,0.06650116601779868,1.0619600805231522,0.059111628375367486
40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,ramularia_collo_cygni,random_forest,0.10289682439681982,0.07145540751836492,1.0594549017091164,0.06327893379589958
40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,rhynchosporium,adaboost,-0.026766620585285276,0.07792113410281239,0.9115100817403142,0.12770682498273178
40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,rhynchosporium,gradient_boosting,0.02030083874191972,0.05422806236913951,0.8938460099227494,0.14968984186932077
40_pca50_ensemble_-_estructura_unificada_+_nested_cv_5x3,rhynchosporium,random_forest,0.015582626400605537,0.06912473763310588,0.8951661527914643,0.14648406300266
45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,blumeria_graminis,elasticnet,0.34187401722329963,0.3669671659892221,0.9224227355127045,0.2497880656125056
45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,blumeria_graminis,ridge,0.1880919334958862,0.7110632758145431,0.9931048930400413,0.4073598750368801
45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,blumeria_graminis,xgboost,0.5075586716971832,0.025665575488385953,0.8153690357490484,0.03674845841395528
45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,heading_date,elasticnet,0.5627352876740834,0.0405754753878065,20.903814534867355,1.1439368969957886
45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,heading_date,ridge,0.5604429462857645,0.04059542167576764,20.95817183260958,1.132319669497218
45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,heading_date,xgboost,0.6153955646554677,0.07576809068995809,19.54727451393024,2.107308969177869
45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,lodging,elasticnet,0.7046051376280976,0.031292396662781205,0.8587255867163567,0.08144959605970084
45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,lodging,ridge,0.6771557274323552,0.058985232198293776,0.8949606002066929,0.09637158800699701
45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,lodging,xgboost,0.7485972589366063,0.03036226981890249,0.7889373545868825,0.02510573000108731
45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,plant_height,elasticnet,0.5657555520740661,0.03755430207829432,9.383686177316283,0.6223403935332615
45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,plant_height,ridge,0.5630699907590053,0.03681388032933282,9.412496830807953,0.6082571260635131
45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,plant_height,xgboost,0.6123358905032115,0.014911857361134442,8.865166504368071,0.2790157465426586
45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,puccinia_hordei,elasticnet,0.4104868397293485,0.02845336535101267,0.909873662290887,0.033527333565337686
45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,puccinia_hordei,ridge,0.3962460197131899,0.02410391552940287,0.9206528096653586,0.022542167452379375
45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,puccinia_hordei,xgboost,0.45854792628956276,0.06670533704532274,0.87094916561132,0.059944241142657374
45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,ramularia_collo_cygni,elasticnet,0.12394017457575887,0.028434498639057438,1.0471105453071305,0.0382906481342757
45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,ramularia_collo_cygni,ridge,0.07221871699748592,0.08147446628585245,1.0767204900889609,0.05397751255703131
45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,ramularia_collo_cygni,xgboost,0.0802280741560742,0.10410280549721605,1.0721647678881427,0.0783428121657985
45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,rhynchosporium,elasticnet,0.031376710489838276,0.05045308033744947,0.8871474230634104,0.13572229094446
45_pca20_blocks_-_estructura_unificada_+_nested_cv_5x3,rhynchosporium,ridge,0.03527971099814656,0.044058412195245596,0.8857816853036381,0.13794318675258554
